Comment,Designator,Footprint,LCSC Part #
1uF 16V,C1,C_0402_1005Metric,C52923
100uF 6.3V,"C2,C7",C_1206_3216Metric,C15008
100nF 16V,"C3,C6,C9",C_0402_1005Metric,C1525
22uF 16V,C4,C_0805_2012Metric,C45783
22uF 6.3V,C5,C_0805_2012Metric,C45783
100nF 25V,C8,C_0402_1005Metric,C1525
USBLC6-2SC6,"D1,D2",SOT-23-6,C7519
yellow,D3,LED_0603_1608Metric,C2287
red,D4,LED_0603_1608Metric,C2286
2A hold,F1,Fuse_1206_3216Metric,C545216
USB-C sink,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
USB-A host (right-angle),J2,USB_A_Receptacle_XKB_U231-091N-4BLRA00-S,C2880618
MMBT3904,"Q1,Q2",SOT-23,C20526
1k,"R1,R2,R7,R8",R_0402_1005Metric,C11702
10k,"R3,R4,R12",R_0402_1005Metric,C25744
4.7k,"R5,R6",R_0402_1005Metric,C25900
5.1k,"R9,R10",R_0402_1005Metric,C25905
100k,R11,R_0402_1005Metric,C25741
RESET,SW1,SW_Push_1P1T_XKB_TS-1187A,C318884
BOOT,SW2,SW_Push_1P1T_XKB_TS-1187A,C318884
ESP32-S3-WROOM-1-N4,U1,ESP32-S3-WROOM-1,C2913197
CH340C,U2,SOIC-16_3.9x9.9mm_P1.27mm,C84681
AP2114H-3.3,U3,SOT-223-3_TabPin2,C150716
AP2171W,U4,SOT-23-5,C110466
