Designator,Mid X,Mid Y,Layer,Rotation
C1,105.5050mm,-72.4550mm,Top,0
C2,107.7450mm,-98.2950mm,Top,90
C3,119.5550mm,-95.9050mm,Top,90
C4,111.2950mm,-100.4750mm,Top,0
C5,102.5750mm,-73.6950mm,Top,90
C6,125.5050mm,-103.4550mm,Top,0
C7,102.8950mm,-97.6450mm,Top,0
C8,101.5050mm,-104.4550mm,Top,0
C9,105.5050mm,-74.4550mm,Top,0
D1,127.1450mm,-106.6950mm,Top,270
D2,116.1450mm,-101.1950mm,Top,270
D3,115.9500mm,-89.9500mm,Top,0
D4,119.9500mm,-89.9500mm,Top,0
F1,132.3750mm,-107.6250mm,Top,0
J1,127.3400mm,-113.3400mm,Top,0
J2,110.9900mm,-108.8600mm,Top,0
Q1,112.5250mm,-83.6950mm,Top,180
Q2,131.2950mm,-78.9250mm,Top,270
R1,123.5250mm,-89.9650mm,Top,0
R2,124.5650mm,-86.4250mm,Top,90
R3,109.0650mm,-82.9250mm,Top,90
R4,134.0650mm,-70.9250mm,Top,90
R5,132.0650mm,-72.9250mm,Top,90
R6,130.0650mm,-74.4250mm,Top,90
R7,117.5250mm,-82.4650mm,Top,0
R8,122.5250mm,-82.4650mm,Top,0
R9,134.0650mm,-114.4250mm,Top,90
R10,120.5650mm,-114.4250mm,Top,90
R11,116.0650mm,-84.9250mm,Top,90
R12,110.0250mm,-86.9650mm,Top,0
SW1,104.5500mm,-65.4500mm,Top,90
SW2,131.0500mm,-65.4500mm,Top,90
U1,117.9500mm,-70.2200mm,Top,0
U2,126.2950mm,-98.1950mm,Top,0
U3,113.9950mm,-95.0950mm,Top,180
U4,103.6450mm,-101.1950mm,Top,270
